,Setpoints,Energy,Temperatures,Basic Money,Comfort violations
0,16.0,0.0,20.18248892349297,0.0,0.0
1,16.0,0.0,20.071354822429083,0.0,0.0
2,16.0,0.0,19.972990762806273,0.0,0.0
3,16.0,0.0,19.87314212397021,0.0,0.0
4,16.0,0.0,19.775891743392222,0.0,0.0
5,16.5,0.0,19.685618324236856,0.0,0.0
6,19.5,0.0,19.622556473377717,0.0,0.0
7,22.5,500000.0,20.62763330057022,100000.0,0.0
8,17.0,0.0,19.932278010222017,0.0,0.06772198977798283
9,22.5,500000.0,20.923096833490188,200000.0,0.0
10,21.0,338012.7658851895,20.88895373914061,135205.1063540758,0.0
11,16.5,0.0,20.359761130528483,0.0,0.0
12,21.5,498176.95048117096,21.32323680845169,199270.7801924684,0.0
13,20.0,0.0,20.597810424916517,0.0,0.0
14,20.5,44207.248839536376,20.63831221282948,17682.89953581455,0.0
15,20.5,816.1309279255549,20.530797851342626,326.452371170222,0.0
16,22.5,500000.0,21.50195415315244,200000.0,0.0
17,21.5,328205.6523347692,21.395481362778426,196923.39140086152,0.0
18,20.0,0.0,20.80874583145103,0.0,0.0
19,20.0,0.0,20.671495030795572,0.0,0.0
20,20.5,24584.856395993014,20.59707741358234,14750.913837595808,0.0
21,20.5,35339.93330308833,20.49487234015294,14135.973321235331,0.0
22,20.0,0.0,20.344071369423943,0.0,0.0
23,16.0,0.0,20.252716207644834,0.0,0.0
24,16.0,0.0,20.170619664706553,0.0,0.0
25,16.0,0.0,20.08694895599094,0.0,0.0
26,16.0,0.0,20.00640376602844,0.0,0.0
27,16.0,0.0,19.923909278489344,0.0,0.0
28,18.5,0.0,19.83963723168505,0.0,0.0
29,22.0,500000.0,20.7741236363625,100000.0,0.0
30,17.0,0.0,19.991021382935717,0.0,0.0
31,21.0,465375.2211947384,20.843072881261456,93075.04423894768,0.0
32,22.5,500000.0,21.155059417413838,200000.0,0.0
33,18.0,0.0,20.36891759097606,0.0,0.0
34,21.5,500000.0,21.300254455880516,200000.0,0.0
35,17.0,0.0,20.539495191054264,0.0,0.0
36,20.5,82099.89329109504,20.62341452282878,32839.95731643802,0.0
37,20.5,34207.24078520727,20.512677389799805,13682.89631408291,0.0
38,22.5,500000.0,21.433130975151645,200000.0,0.0
39,19.0,0.0,20.65484681777447,0.0,0.0
40,20.5,395.0349092979534,20.540775481517773,158.01396371918136,0.0
41,21.0,236886.97904260008,20.928113381892434,142132.18742556006,0.0
42,19.5,0.0,20.510922810377053,0.0,0.0
43,22.0,500000.0,21.400456965325695,300000.0,0.0
44,18.0,0.0,20.563280054032177,0.0,0.0
45,21.5,482118.8805305913,21.388362580186215,192847.55221223654,0.0
46,16.0,0.0,20.58932007572726,0.0,0.0
47,16.0,0.0,20.439477208423575,0.0,0.0
48,16.0,0.0,20.321654103206992,0.0,0.0
49,16.0,0.0,20.21108573635127,0.0,0.0
50,16.0,0.0,20.10734827910625,0.0,0.0
51,16.0,0.0,20.015067446041165,0.0,0.0
52,16.5,0.0,19.930408244186864,0.0,0.0
53,17.5,0.0,19.855830100164333,0.0,0.0
54,19.0,0.0,19.795719819535815,0.0,0.0
55,22.5,500000.0,20.777731618984998,100000.0,0.0
56,20.0,41775.119759773006,20.14936498021384,16710.047903909202,0.0
57,20.5,200627.8556946511,20.453385120150678,80251.14227786045,0.0
58,22.0,500000.0,21.16635735328427,200000.0,0.0
59,18.5,0.0,20.39975542816718,0.0,0.0
60,22.0,500000.0,21.335784633251233,200000.0,0.0
61,17.0,0.0,20.559748884946806,0.0,0.0
