,Setpoints,Energy,Temperatures,Basic Money,Comfort violations
0,16.0,0.0,20.18248892349297,0.0,0.0
1,16.0,0.0,20.071354822429083,0.0,0.0
2,16.0,0.0,19.972990762806273,0.0,0.0
3,16.0,0.0,19.87314212397021,0.0,0.0
4,16.0,0.0,19.775891743392222,0.0,0.0
5,18.5,0.0,19.685618324236856,0.0,0.0
6,18.5,0.0,19.622556473377717,0.0,0.0
7,17.5,0.0,19.61240292525969,0.0,0.38759707474030947
8,17.5,0.0,19.63238367252641,0.0,0.3676163274735913
9,22.5,500000.0,20.670947993157412,200000.0,0.0
10,20.0,21916.79396027573,20.01376916308932,8766.717584110293,0.0
11,18.0,0.0,19.947713139641593,0.0,0.05228686035840724
12,21.5,495388.8160159679,20.95060047514032,198155.5264063872,0.0
13,19.5,0.0,20.250106024996175,0.0,0.0
14,19.5,0.0,20.212611223372157,0.0,0.0
15,20.0,0.0,20.19848266322059,0.0,0.0
16,21.5,492580.6115900837,21.175031126055313,197032.2446360335,0.0
17,16.0,0.0,20.436435659256574,0.0,0.0
18,19.5,0.0,20.32969347365405,0.0,0.0
19,20.5,154778.42003581245,20.56124578251897,92867.05202148747,0.0
20,16.0,0.0,20.22687559626715,0.0,0.0
21,21.0,396824.40828589565,20.913630065723186,158729.76331435828,0.0
22,17.5,0.0,20.257718003393066,0.0,0.0
23,16.0,0.0,20.14914877050382,0.0,0.0
24,16.0,0.0,20.070392250162165,0.0,0.0
25,16.0,0.0,19.989817130151977,0.0,0.0
26,16.0,0.0,19.912141421994576,0.0,0.0
27,16.0,0.0,19.832307261624027,0.0,0.0
28,16.0,0.0,19.75050206800818,0.0,0.0
29,22.5,500000.0,20.687276356328642,100000.0,0.0
30,16.0,0.0,19.906296433442655,0.0,0.0
31,21.5,500000.0,20.83243594795319,100000.0,0.0
32,19.5,0.0,20.079194072778506,0.0,0.0
33,22.0,500000.0,21.02239902443588,200000.0,0.0
34,20.0,8837.010682821638,20.289280595773405,3534.804273128655,0.0
35,22.0,500000.0,21.214862646895874,200000.0,0.0
36,16.5,0.0,20.453985190466007,0.0,0.0
37,20.5,87314.37251704065,20.552158782798813,34925.749006816266,0.0
38,16.0,0.0,20.378409723440495,0.0,0.0
39,21.5,492597.163065859,21.311442801113408,197038.86522634362,0.0
40,17.0,0.0,20.54019180929171,0.0,0.0
41,17.5,0.0,20.415365699152083,0.0,0.0
42,21.0,341191.53763715696,21.035044880204385,204714.92258229418,0.0
43,20.0,0.0,20.431177069673225,0.0,0.0
44,20.0,8396.629630393873,20.301902374300003,5037.9777782363235,0.0
45,17.0,0.0,20.178903919314322,0.0,0.0
46,21.0,419889.4037233665,20.935475374360838,167955.76148934662,0.0
47,16.0,0.0,20.236623559896156,0.0,0.0
48,16.0,0.0,20.103908643902116,0.0,0.0
49,16.0,0.0,20.002586024582325,0.0,0.0
50,16.0,0.0,19.907410548829446,0.0,0.0
51,16.0,0.0,19.82305920821944,0.0,0.0
52,16.0,0.0,19.745744440431704,0.0,0.0
53,16.5,0.0,19.677969544898435,0.0,0.0
54,20.5,418784.9395537545,20.48092020174602,83756.9879107509,0.0
55,20.5,332516.4220109555,20.525853603845817,66503.2844021911,0.0
56,22.0,500000.0,21.021874295210203,200000.0,0.0
57,21.0,349263.6606673982,20.99138470951914,139705.4642669593,0.0
58,19.5,0.0,20.426261084822546,0.0,0.0
59,20.5,112556.15802471827,20.580823033312083,45022.46320988731,0.0
60,16.5,0.0,20.359134595236217,0.0,0.0
61,21.5,494511.0436860966,21.29030547901953,197804.41747443867,0.0
