,Setpoints,Energy,Temperatures,Basic Money,Comfort violations
0,18.5,0.0,20.18248892349297,0.0,0.0
1,19.5,0.0,20.071354822429083,0.0,0.0
2,18.0,0.0,19.972990762806273,0.0,0.0
3,17.0,0.0,19.87314212397021,0.0,0.0
4,17.0,0.0,19.775891743392222,0.0,0.0
5,17.0,0.0,19.685618324236856,0.0,0.0
6,21.5,500000.0,20.63778684868825,25000.0,0.0
7,21.5,498911.6416909098,20.92612175346925,24945.58208454549,0.0
8,21.0,348299.3047006447,20.885196280993036,34829.93047006447,0.0
9,22.0,500000.0,21.36922611974659,50000.0,0.0
10,18.5,0.0,20.604652902456987,0.0,0.0
11,22.0,500000.0,21.544019039781933,50000.0,0.0
12,22.5,500000.0,21.805966539925805,50000.0,0.0
13,19.0,0.0,21.020720922060267,0.0,0.0
14,21.5,284673.97429557017,21.521090323913416,28467.39742955702,0.0
15,22.0,438236.59218390327,21.940367474273778,43823.65921839033,0.0
16,18.0,0.0,21.221641256349802,0.0,0.0
17,22.0,431024.4560329203,21.98231548670557,64653.66840493804,0.0
18,17.5,0.0,21.24197861667052,0.0,0.0
19,20.5,0.0,21.077473404151586,0.0,0.0
20,20.5,3221.0721645913054,20.931524833135995,483.1608246886958,0.0
21,20.5,10632.362060710519,20.799881674488432,1063.2362060710518,0.0
22,20.5,5780.028858981124,20.67362504972451,578.0028858981125,0.0
23,17.0,0.0,20.559950764373077,0.0,0.0
24,19.0,0.0,20.462477488123252,0.0,0.0
25,20.0,0.0,20.364780944967155,0.0,0.0
26,22.5,500000.0,21.286481550092056,25000.0,0.0
27,20.5,36657.07550647403,20.54924192394518,1832.8537753237015,0.0
28,21.5,484917.12763907685,21.337866947984086,24245.856381953843,0.0
29,22.5,500000.0,21.55221048090685,25000.0,0.0
30,21.0,191720.4472009951,21.089030909480325,9586.022360049756,0.0
31,21.5,375841.93453852733,21.44488558504453,18792.096726926367,0.0
32,21.5,341620.3267321253,21.50994015448819,34162.03267321253,0.0
33,20.5,0.0,20.91642885489159,0.0,0.0
34,21.0,124659.60586758214,21.07439393176344,12465.960586758214,0.0
35,20.5,0.0,20.817052437868263,0.0,0.0
36,21.0,129118.60543266553,21.00214573458132,12911.860543266554,0.0
37,22.0,494724.26893370494,21.75939946618615,49472.426893370495,0.0
38,20.0,0.0,20.988995750437045,0.0,0.0
39,22.5,500000.0,21.887008718381935,50000.0,0.0
40,20.0,0.0,21.08060662273306,0.0,0.0
41,20.5,0.0,20.933970095720756,0.0,0.0
42,20.5,10544.033375604991,20.85328921545203,1581.6050063407486,0.0
43,21.0,164820.93935112323,21.055818910909878,24723.140902668485,0.0
44,20.5,1699.5509095328493,20.682058723896827,254.93263642992738,0.0
45,20.5,1932.623189771805,20.552539698170452,193.2623189771805,0.0
46,20.5,26851.686362315748,20.493224182085953,2685.168636231575,0.0
47,18.0,0.0,20.354890122021263,0.0,0.0
48,18.5,0.0,20.24889885120233,0.0,0.0
49,17.0,0.0,20.15179806483739,0.0,0.0
50,20.0,75.39420260963027,20.060613423198674,3.7697101304815135,0.0
51,18.5,0.0,19.97980298407542,0.0,0.0
52,21.5,499036.36375117186,20.919743164597055,24951.818187558594,0.0
53,21.0,369796.84016832773,20.88494430223873,18489.842008416388,0.0
54,22.5,500000.0,21.28012881075116,25000.0,0.0
55,17.5,0.0,20.487705611375084,0.0,0.0
56,21.5,489810.5636163583,21.41492006658225,48981.056361635834,0.0
57,16.5,0.0,20.688830928492074,0.0,0.0
58,21.0,226109.832378913,21.085876192985197,22610.9832378913,0.0
59,22.5,500000.0,21.704161875912117,50000.0,0.0
60,18.0,0.0,20.91949321700394,0.0,0.0
61,20.0,0.0,20.80183606670784,0.0,0.0
62,16.5,0.0,20.75323043640301,0.0,0.0
63,22.5,500000.0,21.729653266194234,50000.0,0.0
64,22.0,466479.0118776656,21.922113663498077,46647.90118776656,0.0
65,20.5,0.0,21.158753084286445,0.0,0.0
66,20.5,0.0,21.027178469066943,0.0,0.0
67,20.0,0.0,20.90832224202038,0.0,0.0
68,20.5,13417.345450254476,20.832929873366034,2012.6018175381712,0.0
69,21.0,165873.95944855452,21.050115082536784,16587.395944855452,0.0
70,20.5,447.96251067351164,20.70112643337953,44.796251067351164,0.0
71,17.0,0.0,20.57965647782634,0.0,0.0
72,21.5,449529.9257068587,21.38475297093916,22476.496285342935,0.0
73,17.0,0.0,20.638404158235904,0.0,0.0
74,18.5,0.0,20.485527833127396,0.0,0.0
75,19.0,0.0,20.37210156113679,0.0,0.0
76,19.0,0.0,20.268219987094035,0.0,0.0
77,20.5,195873.70616209533,20.581860798035247,9793.685308104767,0.0
78,21.5,494032.43740741897,21.232960722904267,24701.62187037095,0.0
79,16.5,0.0,20.47953410078722,0.0,0.0
80,22.0,500000.0,21.419759450895192,50000.0,0.0
81,18.0,0.0,20.68237399933241,0.0,0.0
82,22.5,500000.0,21.63547065272959,50000.0,0.0
83,17.5,0.0,20.890082785104408,0.0,0.0
84,22.0,498265.12820723886,21.83899595241591,49826.51282072389,0.0
85,22.0,449576.2228876728,22.01007226600703,44957.62228876728,0.0
86,20.5,0.0,21.286846993164758,0.0,0.0
87,21.5,181926.64305736168,21.588119330928563,18192.66430573617,0.0
88,18.5,0.0,21.26788206739079,0.0,0.0
89,20.5,0.0,21.213684281125314,0.0,0.0
90,21.5,176947.27990408853,21.506295351031564,26542.09198561328,0.0
91,20.5,0.0,21.160393076833582,0.0,0.0
92,22.5,498578.7145749505,22.07108905501287,74786.80718624257,0.0
93,21.0,0.0,21.254108540079546,0.0,0.0
94,20.0,0.0,21.099610885780848,0.0,0.0
95,21.0,33804.27686179644,21.042108708597638,3380.4276861796443,0.0
96,19.5,0.0,20.87197875890656,0.0,0.0
97,20.0,0.0,20.75752019385092,0.0,0.0
98,17.0,0.0,20.64832376652775,0.0,0.0
99,20.0,0.0,20.536525930615454,0.0,0.0
100,20.5,34678.24990888908,20.49960017536048,1733.9124954444542,0.0
101,22.5,500000.0,21.383980616959807,25000.0,0.0
102,22.0,488149.05023155565,21.60370545494112,24407.452511577783,0.0
103,21.5,308283.74268103135,21.4553551075038,15414.187134051568,0.0
104,20.5,0.0,20.96253577497425,0.0,0.0
105,22.5,500000.0,21.93961408349933,50000.0,0.0
106,16.0,0.0,21.212387575893356,0.0,0.0
107,20.0,0.0,21.150240989429054,0.0,0.0
108,21.5,193671.92257225345,21.542580231405964,19367.192257225346,0.0
109,19.5,0.0,21.248145919370298,0.0,0.0
110,21.0,0.0,21.216718893792077,0.0,0.0
111,22.0,371387.76922133117,21.93518824145603,37138.77692213312,0.0
112,19.5,0.0,21.351389030898737,0.0,0.0
113,22.5,499283.29238666577,22.26545015319748,74892.49385799986,0.0
114,21.5,66322.30768798164,21.624970915222423,9948.346153197244,0.0
115,21.0,0.0,21.384877338241573,0.0,0.0
116,18.0,0.0,21.277658013046537,0.0,0.0
117,20.5,0.0,21.17724734813734,0.0,0.0
118,20.5,0.0,21.08077358455928,0.0,0.0
119,20.0,0.0,20.987019000446917,0.0,0.0
