,Setpoints,Energy,Temperatures,Basic money,Money,Comfort violations
0,17,489925.5560437046,16.80231277171149,97985.11120874093,97975.31269762004,0.0
1,17,472284.27875329164,16.995759556953566,94456.85575065833,99141.91579589098,0.0
2,17,402695.67020022986,17.02176259020121,80539.13404004597,83285.51851081154,0.0
3,17,346625.274843049,17.017319330872333,69325.05496860981,65553.77197831743,0.0
4,17,309121.3812322966,17.01154889383488,61824.27624645932,58757.792144634936,0.0
5,20,500000.0,17.44583125566194,100000.0,99910.0,0.0
6,20,500000.0,17.63137016260189,100000.0,99860.0,0.0
7,20,500000.0,17.843041628799288,100000.0,137590.0,2.1569583712007123
8,20,500000.0,18.07179351079327,200000.0,175000.0,1.9282064892067297
9,20,500000.0,18.291818961186344,200000.0,172790.0,1.708181038813656
10,20,500000.0,18.492677722892036,200000.0,166330.0,1.5073222771079635
11,20,500000.0,18.67864794620602,200000.0,158050.0,1.32135205379398
12,20,500000.0,18.85802096376888,200000.0,156730.0,1.1419790362311204
13,20,500000.0,19.040452419247504,200000.0,153530.0,0.9595475807524956
14,20,500000.0,19.21225010469681,200000.0,156370.0,0.7877498953031896
15,20,500000.0,19.3676689971351,200000.0,168560.0,0.6323310028648983
16,20,500000.0,19.504719707297337,200000.0,182690.0,0.49528029270266316
17,20,500000.0,19.62223811292804,300000.0,208500.0,0.37776188707195857
18,20,500000.0,19.70681282273344,300000.0,219480.0,0.2931871772665602
19,20,499760.33687381604,19.769518962589256,299856.2021242896,215246.7770915526,0.230481037410744
20,20,496941.3586929249,19.8041444459895,298164.8152157549,198687.09403260524,0.1958555540104996
21,20,496165.30403578177,19.83020029432273,198466.12161431272,179849.9994068902,0.16979970567727065
22,20,495494.43410632916,19.87496157518129,198197.77364253168,140660.95995410474,0.12503842481871175
23,17,0.0,18.92456144156192,0.0,0.0,0.0
24,17,0.0,18.68136838789126,0.0,0.0,0.0
25,17,0.0,18.47730130177305,0.0,0.0,0.0
26,17,0.0,18.285710942352395,0.0,0.0,0.0
27,17,0.0,18.100820601503845,0.0,0.0,0.0
28,17,0.0,17.92215277648239,0.0,0.0,0.0
29,20,500000.0,18.769642938291888,100000.0,111980.0,0.0
30,20,500000.0,18.921618861055702,100000.0,172850.0,0.0
31,20,500000.0,19.05663117247687,100000.0,219990.0,0.9433688275231304
32,20,500000.0,19.201079615522804,200000.0,209900.0,0.7989203844771957
33,20,500000.0,19.348987995625958,200000.0,190750.0,0.6510120043740422
34,20,500000.0,19.491825835801322,200000.0,179250.0,0.5081741641986781
35,20,500000.0,19.631187945559933,200000.0,174430.0,0.3688120544400668
36,20,500000.0,19.76157653477822,200000.0,173030.0,0.23842346522177849
37,20,499216.6584476481,19.89025161050353,199686.66337905926,171341.1415124018,0.10974838949647037
38,20,483748.1749300784,19.99007614967648,193499.26997203135,166186.84801547913,0.009923850323520611
39,20,447850.73209299817,20.011262295769985,179140.2928371993,156434.26072008425,0.0
40,20,418069.2448404758,20.00917644028225,167227.69793619032,161592.1245157407,0.0
41,20,402472.84246068023,20.004633456894403,241483.70547640813,175767.93975942826,0.0
42,20,389175.79479997663,20.004155695415555,233505.47687998597,175097.97359640547,0.0
43,20,391111.8080852758,19.998991169844974,234667.08485116548,175538.8017048335,0.0010088301550261747
44,20,401093.31406044576,19.996485246064115,240655.98843626745,173264.28980783134,0.0035147539358852953
45,20,404946.2531302798,19.998725575003593,161978.50125211192,164472.97017139444,0.001274424996406509
46,20,403642.3715068474,20.000430134458437,161456.94860273896,144512.0418468815,0.0
47,17,0.0,19.183038055449543,0.0,0.0,0.0
48,17,0.0,18.939887412258777,0.0,0.0,0.0
49,17,0.0,18.736528416097713,0.0,0.0,0.0
50,17,0.0,18.547231597164323,0.0,0.0,0.0
51,17,0.0,18.376079866482442,0.0,0.0,0.0
52,17,0.0,18.21873614469555,0.0,0.0,0.0
53,20,500000.0,19.092425810238982,100000.0,118110.0,0.0
54,20,500000.0,19.27053966998457,100000.0,157520.0,0.0
55,20,500000.0,19.432694744284035,100000.0,218010.0,0.567305255715965
56,20,500000.0,19.613043577352766,200000.0,208480.0,0.3869564226472342
57,20,500000.0,19.798304462770723,200000.0,178600.0,0.20169553722927702
58,20,494871.04106508964,19.9574448307093,197948.41642603587,166672.5666307222,0.04255516929070069
59,20,454387.170716847,20.01261150142939,181754.8682867388,148002.9892458914,0.0
60,20,402857.9399004413,20.016235444487062,161143.17596017654,130969.11626163348,0.0
61,20,370562.3314801522,20.009921701745373,148224.93259206088,117490.49281909707,0.0
62,20,334898.8610727243,20.01155740037502,133959.54442908973,93811.86896369152,0.0
63,20,305655.32488567795,20.009386649171056,122262.1299542712,86292.6113217246,0.0
64,20,286212.4691359546,20.00618973123075,114484.98765438185,96562.36283708838,0.0
65,20,277254.19095541915,20.002755643909214,166352.51457325148,115049.39907886073,0.0
66,20,282975.82797817513,19.9978578650234,169785.49678690507,121645.64893125792,0.0021421349766015396
67,20,297462.75097291137,19.99504664514068,178477.6505837468,130318.43120123247,0.004953354859321024
68,20,304638.51198636636,19.99768422993785,182783.1071918198,130263.42772537025,0.002315770062150335
69,20,312297.6700854074,19.997407220297795,124919.06803416296,131171.2673892728,0.0025927797022049504
70,20,319738.1990561785,19.997509534220185,127895.27962247141,109037.12064213799,0.002490465779814599
71,17,0.0,19.33062858653501,0.0,0.0,0.0
72,17,0.0,19.121100333072565,0.0,0.0,0.0
73,17,0.0,18.941856235377212,0.0,0.0,0.0
74,17,0.0,18.761676857737775,0.0,0.0,0.0
