,Setpoints,Energy,Temperatures,Basic Money,Comfort violations
0,18.5,0.0,20.18248892349297,0.0,0.0
1,18.0,0.0,20.071354822429083,0.0,0.0
2,22.0,500000.0,20.988221138116806,25000.0,0.0
3,17.0,0.0,20.173036461665806,0.0,0.0
4,19.5,0.0,20.028040583725016,0.0,0.0
5,22.0,500000.0,20.937285205166088,25000.0,0.0
6,16.0,0.0,20.144349176532398,0.0,0.0
7,21.0,390869.50219848193,20.864856245219638,19543.475109924097,0.0
8,22.0,500000.0,21.315113571384078,50000.0,0.0
9,20.0,0.0,20.559178767189437,0.0,0.0
10,22.5,500000.0,21.505610479524435,50000.0,0.0
11,18.0,0.0,20.751683375751632,0.0,0.0
12,21.5,396233.18876904016,21.482962352976042,39623.31887690402,0.0
13,17.0,0.0,20.874958337109852,0.0,0.0
14,22.5,500000.0,21.824092183905883,50000.0,0.0
15,22.0,451085.5086531272,21.980813363157324,45108.55086531272,0.0
16,19.0,0.0,21.22782406332235,0.0,0.0
17,21.0,21952.02702399321,21.1573830969303,3292.8040535989817,0.0
18,20.5,0.0,21.004627723086262,0.0,0.0
19,21.0,64101.26187877709,21.00822845695702,9615.189281816563,0.0
20,21.0,103016.53695239074,20.986716637777878,15452.480542858611,0.0
21,21.0,143479.3307433054,20.986949954329127,14347.933074330542,0.0
22,20.0,0.0,20.661035879232415,0.0,0.0
23,18.0,0.0,20.548272196178317,0.0,0.0
24,18.5,0.0,20.452166821317473,0.0,0.0
25,17.0,0.0,20.355526853533387,0.0,0.0
26,18.5,0.0,20.262974012699686,0.0,0.0
27,19.0,0.0,20.169361366073854,0.0,0.0
28,18.0,0.0,20.074793945111132,0.0,0.0
29,17.0,0.0,19.984515682168244,0.0,0.0
30,17.5,0.0,19.90791918124996,0.0,0.0
31,22.0,500000.0,20.87165593431999,25000.0,0.0
32,22.0,500000.0,21.139952554741697,50000.0,0.0
33,22.0,500000.0,21.37364365053261,50000.0,0.0
34,21.5,411993.6574096997,21.41448833912832,41199.36574096997,0.0
35,21.5,378290.1784585794,21.512563554037737,37829.01784585794,0.0
36,17.0,0.0,20.870706855453765,0.0,0.0
37,20.0,0.0,20.778702214537773,0.0,0.0
38,20.5,11153.623453128723,20.74238869656004,1115.3623453128723,0.0
39,22.0,497370.8437514234,21.662046601988436,49737.084375142345,0.0
40,17.0,0.0,20.869343343834153,0.0,0.0
41,22.0,497547.75503830763,21.744237255880506,74632.16325574614,0.0
42,16.0,0.0,20.94013855621091,0.0,0.0
43,20.5,11285.441783138567,20.8019003760963,1692.816267470785,0.0
44,20.5,4836.28926935958,20.655287442346893,725.4433904039371,0.0
45,20.5,4220.131114271506,20.53111390387321,422.0131114271506,0.0
46,20.5,37206.56152111772,20.48954228287821,3720.6561521117724,0.0
47,18.5,0.0,20.334842836789697,0.0,0.0
48,19.5,0.0,20.226758211429566,0.0,0.0
49,18.5,0.0,20.12833406399385,0.0,0.0
50,17.0,0.0,20.035822936568017,0.0,0.0
51,20.5,238690.73960831182,20.4381224055192,11934.536980415593,0.0
52,20.0,25273.09421631856,20.07508446828085,1263.6547108159282,0.0
53,18.5,0.0,19.948186369698345,0.0,0.0
54,16.5,0.0,19.886787076433443,0.0,0.0
55,21.0,479965.4950100351,20.825786634480977,23998.274750501758,0.0
56,22.5,500000.0,21.15305801324427,50000.0,0.0
57,18.5,0.0,20.402726438557398,0.0,0.0
58,20.5,128039.8581270303,20.61358741812628,12803.985812703031,0.0
59,22.0,500000.0,21.385772347170594,50000.0,0.0
60,22.0,494132.98689812917,21.62721119837426,49413.29868981292,0.0
61,21.5,320415.8168734354,21.465750445624575,32041.58168734354,0.0
62,21.5,287174.09689580894,21.51286578050369,28717.409689580894,0.0
63,22.0,449142.0306449913,21.939759596431394,44914.20306449913,0.0
64,22.5,500000.0,22.230335437682978,50000.0,0.0
65,17.5,0.0,21.40480623300804,0.0,0.0
66,17.0,0.0,21.251844132422654,0.0,0.0
67,20.0,0.0,21.11564161608826,0.0,0.0
68,20.5,0.0,20.996658403205792,0.0,0.0
69,21.0,110883.08593871865,21.109342666296488,11088.308593871865,0.0
70,20.0,0.0,20.822756768272374,0.0,0.0
71,18.5,0.0,20.695000586781365,0.0,0.0
72,16.5,0.0,20.578049360874942,0.0,0.0
73,18.5,0.0,20.46599509079898,0.0,0.0
74,20.5,79949.54571168283,20.509798372153384,3997.477285584142,0.0
75,22.5,500000.0,21.304302434877318,25000.0,0.0
76,22.5,500000.0,21.498432924307256,25000.0,0.0
77,20.0,0.0,20.646212835028223,0.0,0.0
78,22.0,495013.69039536436,21.53136176844007,24750.68451976822,0.0
79,22.5,500000.0,21.778076389692462,25000.0,0.0
80,22.5,500000.0,21.98427784776856,50000.0,0.0
81,20.0,0.0,21.181166916376583,0.0,0.0
82,21.5,189904.59511851688,21.473046171226216,18990.459511851688,0.0
83,17.0,0.0,21.140540990426103,0.0,0.0
84,20.5,0.0,21.079199983040475,0.0,0.0
85,22.5,500000.0,22.04435097961192,50000.0,0.0
86,17.0,0.0,21.290247205785736,0.0,0.0
87,20.5,0.0,21.207822273839835,0.0,0.0
88,21.5,169255.0402504022,21.507690014974028,16925.50402504022,0.0
89,17.0,0.0,21.22163381632599,0.0,0.0
90,20.5,0.0,21.14225467941863,0.0,0.0
91,22.0,417874.1317241117,21.904277934060858,62681.11975861675,0.0
92,22.0,386958.46285406506,22.007813734235985,58043.76942810976,0.0
93,20.0,0.0,21.3123603537534,0.0,0.0
94,20.5,0.0,21.16176797865056,0.0,0.0
95,18.0,0.0,21.03116463220204,0.0,0.0
96,20.5,800.5646331773935,20.90782924219399,40.02823165886968,0.0
97,17.0,0.0,20.793116609662142,0.0,0.0
98,22.0,500000.0,21.696852431569038,25000.0,0.0
99,21.0,110353.69488138294,21.093693006633412,5517.684744069147,0.0
100,18.5,0.0,20.77859724381526,0.0,0.0
101,22.0,491280.687449713,21.66511941271631,24564.03437248565,0.0
102,19.5,0.0,20.89036232121902,0.0,0.0
103,22.0,496985.24656030984,21.809975749490594,24849.262328015495,0.0
104,16.5,0.0,21.0761068027375,0.0,0.0
105,20.5,0.0,21.021217943545413,0.0,0.0
106,22.5,500000.0,22.01969662252915,50000.0,0.0
107,22.5,500000.0,22.300689980962538,50000.0,0.0
108,17.5,0.0,21.541031532958932,0.0,0.0
109,20.0,0.0,21.48055426190754,0.0,0.0
110,18.0,0.0,21.44511950700045,0.0,0.0
111,16.0,0.0,21.39300273594607,0.0,0.0
112,20.5,0.0,21.333852211711164,0.0,0.0
113,20.0,0.0,21.257169735086563,0.0,0.0
114,22.5,500000.0,22.209117544549784,75000.0,0.0
115,19.5,0.0,21.403530006230802,0.0,0.0
116,20.5,0.0,21.27034745597144,0.0,0.0
117,21.0,14696.721919519658,21.204413213880443,1469.672191951966,0.0
118,20.0,0.0,21.085638474396603,0.0,0.0
119,17.5,0.0,20.992766204005097,0.0,0.0
120,16.0,0.0,20.900437872971843,0.0,0.0
121,17.5,0.0,20.815140284872847,0.0,0.0
122,17.5,0.0,20.732585812398412,0.0,0.0
123,22.5,500000.0,21.67075365901656,25000.0,0.0
124,22.5,500000.0,21.899350558108857,25000.0,0.0
125,18.0,0.0,21.06983012610739,0.0,0.0
126,22.0,454466.22383756645,21.88209405668109,22723.311191878325,0.0
127,22.5,500000.0,22.181503662488762,25000.0,0.0
128,17.5,0.0,21.363971212257983,0.0,0.0
129,16.5,0.0,21.25242094262646,0.0,0.0
130,22.0,400498.3119046663,22.00279317559449,40049.83119046663,0.0
131,22.5,498435.3461331876,22.381354290095413,49843.53461331876,0.0
132,21.5,28446.95144824794,21.66388517082293,2844.695144824794,0.0
133,17.0,0.0,21.51406563776613,0.0,0.0
134,20.0,0.0,21.43950171886293,0.0,0.0
135,16.5,0.0,21.35855857304728,0.0,0.0
136,19.0,0.0,21.261855743414063,0.0,0.0
137,22.5,490992.4121877358,22.154923820650257,73648.86182816037,0.0
138,18.0,0.0,21.352144380160496,0.0,0.0
139,20.0,0.0,21.190799537234067,0.0,0.0
140,21.5,223568.60127400846,21.519119885350737,33535.29019110127,0.0
141,18.5,0.0,21.06577828563728,0.0,0.0
142,20.5,0.0,20.92537503784103,0.0,0.0
143,19.5,0.0,20.787244374944024,0.0,0.0
144,18.5,0.0,20.65932928115163,0.0,0.0
145,16.5,0.0,20.535208604277198,0.0,0.0
146,17.0,0.0,20.413336506003724,0.0,0.0
147,16.5,0.0,20.298899987790154,0.0,0.0
148,18.0,0.0,20.193707937807307,0.0,0.0
149,17.5,0.0,20.11941006968527,0.0,0.0
150,16.0,0.0,20.08006743317494,0.0,0.0
151,18.0,0.0,20.065102666147883,0.0,0.0
152,22.5,500000.0,21.079500677983052,50000.0,0.0
153,22.0,500000.0,21.38743889005267,50000.0,0.0
154,18.5,0.0,20.64049340057958,0.0,0.0
155,22.0,499048.2408854997,21.600557066996267,49904.82408854997,0.0
156,18.5,0.0,20.878021650985104,0.0,0.0
157,20.5,0.0,20.82469086502653,0.0,0.0
158,21.5,324688.14517225884,21.468355365749538,32468.814517225885,0.0
159,19.5,0.0,20.97217209165888,0.0,0.0
160,20.5,0.0,20.90706671306805,0.0,0.0
161,16.0,0.0,20.852966245932876,0.0,0.0
162,16.0,0.0,20.791058798135985,0.0,0.0
163,16.0,0.0,20.68864003502789,0.0,0.0
164,16.5,0.0,20.568956444499804,0.0,0.0
165,17.0,0.0,20.462122615685985,0.0,0.0
166,18.0,0.0,20.359179528218533,0.0,0.0
167,18.5,0.0,20.26136609033619,0.0,0.0
168,20.0,7466.587880651166,20.16807964176003,373.32939403255835,0.0
169,18.0,0.0,20.053482469889307,0.0,0.0
170,22.0,500000.0,20.96677759842861,25000.0,0.0
171,17.0,0.0,20.156228312163563,0.0,0.0
172,19.5,0.0,20.019275679280554,0.0,0.0
173,22.0,500000.0,20.94552111680732,25000.0,0.0
174,16.0,0.0,20.18485159926125,0.0,0.0
175,21.0,379590.31739499193,20.907600315157282,18979.515869749597,0.0
176,22.0,500000.0,21.389538333970847,50000.0,0.0
177,20.0,0.0,20.66024209117322,0.0,0.0
178,22.5,500000.0,21.655475087335937,50000.0,0.0
179,22.0,484092.19694285374,21.95528736479753,48409.21969428538,0.0
180,18.5,0.0,21.238002745731453,0.0,0.0
181,21.5,185701.27833350305,21.59847059723708,18570.127833350307,0.0
182,18.0,0.0,21.31331682038524,0.0,0.0
183,16.0,0.0,21.295534631067806,0.0,0.0
184,19.5,0.0,21.275642959745376,0.0,0.0
185,16.0,0.0,21.253983154599307,0.0,0.0
186,20.5,0.0,21.197440313045075,0.0,0.0
187,21.0,5479.549313172831,21.15989102587663,821.9323969759246,0.0
188,21.0,3619.146492667121,21.09939517069676,542.8719739000682,0.0
189,21.0,1219.5181790310307,21.037390819916816,121.95181790310308,0.0
190,20.0,0.0,20.98151661361159,0.0,0.0
191,20.0,0.0,20.9342438742704,0.0,0.0
192,17.0,0.0,20.892186690345707,0.0,0.0
193,18.5,0.0,20.844332344432708,0.0,0.0
194,22.5,500000.0,21.804887140064274,25000.0,0.0
195,20.5,0.0,21.034349789827473,0.0,0.0
196,19.5,0.0,20.926081987026766,0.0,0.0
197,19.0,0.0,20.848114353637374,0.0,0.0
198,22.0,492207.9150111116,21.77326381504835,24610.39575055558,0.0
199,19.5,0.0,21.020092903588218,0.0,0.0
200,22.0,486331.8532586854,21.930178154013284,48633.185325868544,0.0
201,19.0,0.0,21.175336342437888,0.0,0.0
202,21.0,25672.396830612954,21.17966662608142,2567.2396830612956,0.0
203,21.5,176102.07165185432,21.486287042647696,17610.20716518543,0.0
204,17.0,0.0,21.23049437068461,0.0,0.0
