,0
0,72626585.62878019
1,79971792.51447855
2,88727220.70580184
3,100253019.91677335
4,100467176.17473564
5,104454471.16168016
6,107068395.88062945
7,108733593.54241829
8,112313493.71518676
9,111917561.0931411
